item_id,order_id,product_id,quantity,unit_price
1,200,2,2,263.92
2,63,26,3,50.76
3,176,7,4,150.62
4,4,16,2,83.03
5,30,29,4,105.98
6,40,4,4,215.02
7,62,1,2,206.73
8,53,25,4,111.45
9,17,8,4,278.22
10,76,1,2,278.46
11,85,22,1,57.64
12,3,7,4,287.11
13,189,11,2,142.28
14,3,26,2,87.54
15,152,10,1,203.52
16,193,17,4,93.38
17,119,16,1,49.27
18,167,9,1,76.72
19,57,3,4,75.14
20,129,8,4,111.43
21,165,26,1,216.34
22,81,6,3,113.38
23,9,17,3,137.39
24,10,6,3,108.64
25,105,5,4,218.35
26,25,29,1,172.17
27,123,17,2,262.0
28,95,17,2,193.79
29,73,5,3,156.74
30,30,29,4,297.71
31,77,8,4,126.67
32,186,11,2,71.53
33,22,18,1,73.52
34,74,7,1,296.16
35,195,5,3,107.12
36,33,13,4,41.33
37,77,9,2,69.84
38,166,18,2,251.93
39,144,20,4,207.66
40,196,24,2,131.2
41,15,18,1,259.71
42,159,28,4,285.7
43,155,18,1,274.05
44,39,18,3,23.47
45,146,28,2,162.53
46,65,11,1,26.18
47,160,2,1,95.65
48,135,12,2,239.88
49,187,23,2,71.7
50,188,18,4,87.04
51,47,24,3,86.3
52,11,16,2,116.87
53,126,6,4,117.64
54,35,4,1,53.64
55,188,23,1,265.33
56,11,4,3,97.31
57,138,13,4,293.72
58,146,2,1,254.23
59,111,27,1,132.35
60,111,18,4,42.24
61,64,6,3,137.05
62,92,29,2,168.78
63,190,16,2,206.28
64,122,28,2,105.9
65,182,14,3,54.58
66,38,16,3,30.79
67,110,11,2,128.47
68,53,5,3,16.15
69,76,30,4,253.13
70,84,26,2,229.76
71,72,7,4,236.04
72,164,6,1,60.43
73,128,5,2,177.64
74,117,18,4,142.74
75,24,28,2,278.31
76,32,23,2,88.16
77,157,26,1,112.24
78,43,12,4,21.68
79,53,4,4,181.38
80,158,15,1,82.72
81,16,28,2,127.53
82,2,1,4,291.05
83,191,3,3,12.21
84,135,17,2,35.05
85,137,30,4,31.1
86,104,30,2,15.76
87,129,22,1,154.75
88,129,2,4,101.35
89,112,11,1,57.88
90,86,9,1,230.63
91,66,21,2,210.6
92,90,7,2,89.42
93,181,4,3,41.28
94,94,8,2,276.98
95,113,3,4,38.17
96,84,1,2,64.12
97,8,4,3,246.28
98,50,23,2,76.91
99,131,14,4,214.24
100,159,16,3,232.33
101,45,5,4,108.94
102,190,10,1,85.76
103,31,27,2,139.51
104,194,5,1,198.93
105,21,23,3,18.14
106,153,30,4,57.66
107,31,20,3,50.74
108,133,3,4,282.99
109,51,20,4,84.22
110,36,23,3,62.79
111,168,18,3,30.3
112,172,13,3,134.59
113,145,11,1,242.73
114,191,24,4,228.28
115,112,29,2,55.86
116,195,9,1,16.25
117,67,3,1,108.07
118,17,11,1,107.66
119,190,11,4,91.39
120,83,17,2,204.18
121,117,9,3,193.15
122,121,5,2,186.18
123,166,17,4,213.64
124,178,27,2,119.82
125,160,14,3,159.02
126,66,1,1,273.05
127,139,19,4,196.42
128,113,3,2,251.13
129,182,24,3,156.8
130,19,4,4,32.85
131,42,19,2,247.7
132,186,23,1,96.99
133,173,18,1,187.33
134,188,26,3,185.89
135,94,22,4,12.65
136,77,13,4,231.87
137,13,14,1,229.63
138,171,2,3,251.27
139,7,10,1,214.07
140,96,17,2,235.12
141,14,12,3,192.61
142,93,18,3,170.52
143,167,22,2,265.02
144,179,7,2,129.45
145,184,28,2,276.87
146,125,26,1,248.77
147,196,19,3,63.44
148,147,6,3,260.94
149,160,16,2,187.4
150,33,7,2,143.51
151,122,9,3,247.46
152,176,27,4,193.01
153,114,20,4,15.52
154,173,27,4,176.54
155,25,3,3,173.48
156,32,26,4,183.97
157,113,25,1,187.77
158,101,20,2,129.08
159,145,5,3,126.6
160,108,9,4,42.13
161,108,23,2,288.32
162,95,15,4,145.78
163,47,1,2,130.66
164,69,19,2,88.25
165,163,2,2,210.64
166,21,18,4,61.91
167,88,27,4,135.07
168,69,7,2,248.04
169,42,23,2,248.19
170,38,26,2,110.49
171,107,22,3,291.94
172,186,9,2,259.31
173,12,29,1,29.22
174,20,6,3,215.71
175,2,2,2,229.15
176,122,24,4,273.8
177,81,24,3,160.28
178,28,29,2,195.01
179,88,15,1,56.48
180,174,13,3,205.77
181,136,2,4,201.82
182,75,27,4,287.13
183,28,23,1,41.69
184,69,20,2,128.52
185,107,22,3,216.9
186,189,11,4,156.13
187,40,6,3,11.05
188,56,24,2,95.02
189,1,17,1,160.48
190,195,27,3,220.12
191,140,21,1,17.78
192,2,8,4,227.38
193,71,7,4,51.25
194,147,30,2,200.15
195,194,2,1,92.35
196,139,4,2,113.6
197,108,10,1,238.05
198,87,29,3,156.17
199,165,27,2,66.75
200,24,15,4,86.36
201,140,6,1,169.04
202,73,29,2,204.8
203,158,6,1,226.19
204,29,12,1,79.59
205,50,28,4,288.85
206,137,27,4,66.7
207,33,28,3,103.06
208,71,25,3,10.91
209,56,25,2,260.17
210,80,6,1,283.43
211,21,9,3,248.43
212,200,27,1,143.66
213,52,29,2,94.58
214,4,20,2,281.88
215,90,5,2,134.6
216,47,1,4,125.7
217,164,12,4,263.68
218,171,19,2,13.0
219,88,14,1,-99.99
220,16,16,4,34.22
221,94,18,1,279.64
222,48,29,4,110.3
223,97,12,4,81.84
224,96,14,3,257.92
225,145,7,4,226.84
226,99,15,4,30.21
227,53,17,1,61.29
228,111,1,3,58.75
229,14,9,1,143.77
230,176,30,1,74.18
231,63,18,3,51.07
232,5,12,2,297.28
233,165,28,3,234.3
234,105,12,3,225.59
235,152,26,4,74.72
236,160,27,1,65.73
237,188,22,4,258.54
238,136,29,4,272.98
239,8,21,1,80.54
240,62,14,2,97.31
241,136,25,4,130.98
242,106,12,3,66.22
243,129,2,3,291.99
244,24,24,3,48.59
245,118,23,1,147.3
246,96,8,4,178.8
247,144,12,3,85.41
248,44,29,1,218.95
249,29,26,2,96.85
250,53,29,3,293.29
251,89,13,1,227.12
252,172,3,1,183.63
253,182,4,3,218.36
254,104,3,3,204.61
255,168,27,4,277.09
256,5,30,2,49.63
257,1,1,1,53.68
258,188,19,1,125.03
259,2,24,1,203.91
260,85,5,3,67.38
261,5,13,3,186.81
262,54,2,3,188.75
263,61,1,2,205.81
264,22,16,3,107.76
265,182,22,1,117.47
266,182,14,3,194.31
267,57,10,1,66.3
268,56,17,1,214.97
269,155,18,2,202.43
270,18,7,4,122.59
271,186,27,4,147.27
272,19,11,1,285.72
273,12,12,2,71.25
274,185,17,2,158.81
275,64,17,2,56.52
276,177,9,3,101.63
277,54,8,4,191.95
278,195,27,3,285.64
279,37,19,4,263.79
280,171,28,4,56.3
281,38,14,4,113.65
282,66,6,4,110.16
283,90,5,3,269.59
284,187,10,4,175.43
285,33,27,2,173.92
286,134,15,2,238.18
287,173,13,4,294.0
288,199,22,2,78.0
289,144,6,1,33.71
290,59,1,4,193.39
291,41,10,2,160.38
292,59,20,2,154.82
293,19,19,1,253.35
294,113,13,1,58.08
295,122,28,1,208.76
296,166,8,2,264.66
297,196,13,1,44.74
298,10,15,4,206.66
299,15,14,2,19.6
300,46,22,2,264.03
301,107,18,4,125.12
302,43,19,2,284.2
303,25,8,4,241.83
304,27,29,4,291.22
305,135,23,2,237.52
306,102,26,2,42.92
307,97,8,2,291.0
308,95,1,2,236.02
309,182,28,2,72.31
310,120,6,3,154.33
311,10,11,3,263.95
312,189,27,4,23.08
313,78,10,2,115.32
314,36,9,4,116.28
315,187,1,3,236.02
316,90,25,4,190.26
317,94,29,3,233.77
318,161,8,1,52.12
319,92,10,3,86.72
320,186,30,1,282.4
321,117,18,2,98.14
322,5,9,1,247.81
323,42,19,2,67.4
324,29,13,3,190.75
325,165,19,1,10.14
326,42,20,3,225.39
327,95,24,3,137.27
328,12,7,1,173.89
329,2,25,3,259.65
330,144,24,4,137.26
331,82,5,2,267.19
332,31,14,3,121.53
333,182,1,2,66.51
334,175,15,4,222.87
335,60,9,1,284.14
336,46,28,2,78.16
337,181,23,3,171.88
338,188,10,4,284.71
339,57,23,1,147.52
340,138,1,1,195.39
341,18,8,2,51.63
342,181,3,4,64.38
343,189,22,3,232.58
344,114,24,2,63.34
345,117,20,2,45.29
346,3,16,4,175.59
347,199,1,1,94.15
348,82,11,1,220.65
349,134,18,2,283.21
350,69,13,4,79.51
351,112,8,4,172.13
352,108,13,1,261.56
353,129,13,4,99.26
354,72,12,3,128.85
355,23,23,3,77.31
356,43,6,3,249.3
357,10,19,4,97.61
358,148,27,4,103.37
359,127,3,3,143.83
360,160,20,3,256.25
361,173,1,1,144.77
362,96,16,2,157.91
363,111,18,4,284.67
364,83,14,3,205.72
365,132,18,3,289.31
366,171,26,3,233.75
367,135,27,4,241.52
368,27,7,4,207.71
369,177,7,1,244.47
370,119,2,4,11.19
371,142,23,4,196.91
372,15,11,2,220.76
373,100,19,2,193.36
374,142,13,2,164.2
375,100,2,2,141.32
376,97,8,4,52.64
377,113,7,2,201.92
378,69,4,3,207.84
379,35,3,4,57.85
380,141,16,3,177.83
381,165,28,3,115.05
382,172,3,4,46.55
383,166,6,4,229.77
384,157,9,3,13.83
385,101,24,4,19.46
386,47,13,2,70.42
387,49,27,1,296.91
388,68,24,2,67.21
389,9,30,4,126.7
390,51,5,3,180.14
391,156,7,3,33.63
392,165,3,2,170.94
393,26,28,3,197.88
394,98,13,4,175.8
395,93,29,2,272.4
396,132,17,4,287.1
397,61,20,2,30.74
398,96,28,3,232.66
399,60,3,2,86.44
400,194,16,2,23.28
401,113,12,1,298.34
402,86,27,3,113.96
403,52,12,4,136.22
404,67,23,3,297.89
405,69,30,3,172.87
406,178,23,4,177.13
407,155,5,1,250.12
408,100,12,3,62.88
409,108,27,2,60.99
410,140,8,4,40.63
411,107,22,2,20.44
412,110,25,1,54.63
413,74,16,3,265.73
414,67,28,3,32.68
415,62,28,3,299.05
416,160,30,3,170.47
417,95,8,2,63.52
418,116,1,2,295.59
419,125,9,2,130.03
420,37,30,1,276.77
421,95,21,4,172.2
422,60,24,4,251.74
423,21,22,2,147.06
424,118,18,2,167.98
425,17,17,2,63.06
426,187,11,1,85.96
427,37,15,2,30.05
428,139,27,2,120.72
429,114,28,1,75.75
430,27,19,3,146.79
431,150,7,1,125.29
432,27,23,1,275.21
433,180,17,4,222.22
434,48,6,1,146.7
435,133,2,2,53.2
436,182,24,4,256.63
437,142,16,3,127.56
438,38,5,1,280.28
439,7,25,2,14.1
440,94,16,4,111.7
441,58,3,2,166.42
442,104,20,3,194.57
443,14,30,3,58.31
444,145,17,3,255.45
445,128,29,4,43.78
446,138,6,4,53.25
447,43,14,4,279.17
448,100,21,3,136.44
449,57,27,2,201.32
450,34,8,1,134.81
451,136,16,4,202.91
452,135,7,3,159.74
453,70,12,3,129.25
454,32,11,2,121.91
455,73,10,3,290.3
456,28,28,3,235.41
457,193,19,1,102.91
458,14,25,2,170.96
459,69,22,4,17.61
460,37,1,1,142.95
461,37,17,1,141.04
462,18,2,4,170.1
463,55,28,3,174.88
464,49,24,3,59.27
465,197,4,4,49.64
466,144,4,1,34.8
467,53,15,4,249.13
468,14,20,3,200.44
469,152,5,4,246.71
470,154,12,3,285.03
471,139,6,4,182.59
472,111,6,3,104.84
473,179,22,3,140.6
474,56,2,4,183.96
475,168,13,2,112.93
476,75,5,3,56.6
477,28,25,2,229.79
478,34,11,2,276.01
479,161,18,2,145.51
480,49,11,4,136.82
481,19,5,1,58.51
482,70,22,3,131.35
483,71,30,4,96.08
484,176,6,2,292.21
485,139,22,4,191.31
486,9,9,2,15.57
487,173,16,1,48.11
488,66,6,4,237.44
489,40,21,3,256.66
490,71,23,1,42.98
491,166,23,2,256.68
492,53,15,2,195.34
493,71,25,1,229.5
494,139,14,1,227.23
495,193,13,2,242.78
496,58,27,2,250.0
497,24,17,2,209.07
498,88,20,2,54.4
499,107,14,4,250.36
500,127,16,3,32.07
